orchestra_id,orchestra,orchestra_count,date,title,text,link
221,サロン・ドゥ・螺 北夙川不可止プロデュース古楽シリーズvol.19(昼の部),1,2016-11-06,サロン・ドゥ・螺 北夙川不可止プロデュース古楽シリーズvol.19(昼の部),●サロン・ドゥ・螺 北夙川不可止プロデュース古楽シリーズvol.19(昼の部)2016年11月6日(日)サロン・ドゥ・螺鈴木貴博： ミル・ルグレ （世界初演）  澤朱里： さくらさくらによるシャコンヌ （世界初演）  他,http://i-amabile.com/concert/ra_spiral161106_1
48,サロン・ドゥ・螺 北夙川不可止プロデュース古楽シリーズvol.19(夜の部),1,2016-11-06,サロン・ドゥ・螺 北夙川不可止プロデュース古楽シリーズvol.19(夜の部),●サロン・ドゥ・螺 北夙川不可止プロデュース古楽シリーズvol.19(夜の部)2016年11月6日(日)サロン・ドゥ・螺鈴木貴博： ミル・ルグレ （世界初演）  澤朱里： さくらさくらによるシャコンヌ （世界初演）  他,http://i-amabile.com/concert/ra_spiral161106_2
88,神奈川セリエスオーケストラ ,1,2016-11-06,神奈川セリエスオーケストラ 第5回定期演奏会,●神奈川セリエスオーケストラ 第5回定期演奏会2016年11月6日(日)鎌倉芸術館　大ホール　木許裕介指揮シャブリエ（管弦楽編/ラヴェル）： 10の絵画風小品より第9番「壮麗なるメヌエット」 （日本初演）  他,http://i-amabile.com/concert/series_orch5
7,フィルハーモニア・エテルナ ,4,2016-10-30,フィルハーモニア・エテルナ 第22回定期演奏会【創立20周年記念演奏会シリーズ】,●フィルハーモニア・エテルナ 第22回定期演奏会【創立20周年記念演奏会シリーズ】2016年10月30日(日)すみだトリフォニーホール　大ホール　十束尚宏指揮十束尚宏： 新作 （世界初演）  他,http://i-amabile.com/concert/phil-aeterna22
261,NABEオケ NABEオケ in 桐朋祭2016,1,2016-10-15,NABEオケ NABEオケ in 桐朋祭2016,●NABEオケ NABEオケ in 桐朋祭20162016年10月15日(土)桐朋学園大学調布キャンパス008教室　渡辺智博指揮宮下亮明： Rapid （世界初演）  他,http://i-amabile.com/concert/nabe_orchestra161015
208,植村照ピアノリサイタル（公財）青山財団助成公演～ゲオルギー・スヴィリードフの世界～,1,2016-10-02,植村照ピアノリサイタル（公財）青山財団助成公演～ゲオルギー・スヴィリードフの世界～,●植村照ピアノリサイタル（公財）青山財団助成公演～ゲオルギー・スヴィリードフの世界～2016年10月2日(日)バロックザール京都青山音楽記念館スヴィリードフ： 子どものためのアルバム （日本初演）  スヴィリードフ： 吹雪～プーシキンの物語への音楽の挿絵〈ピアノ独奏版〉 （日本初演）  スヴィリードフ： ピアノトリオ　イ短調　作品６ （日本初演）  他,http://i-amabile.com/concert/concert161002
132,初演企画　Premiere Orchestra Workshop ,1,2016-10-01,初演企画　Premiere Orchestra Workshop 第4回演奏会,●初演企画　Premiere Orchestra Workshop 第4回演奏会2016年10月1日(土)神戸市立灘区民ホール（マリーホール）　山内裕太、静間佳佑指揮大森 愛弓： 狐の嫁入り ーソプラノとオーケストラのためのー （世界初演）  小松 淳史： まじなひ～安倍晴明の伝説に寄せて～ （世界初演）  他,http://i-amabile.com/concert/premieresymphony4
260,シネクドキズム実行委員会 音楽と写真と映像の作品「シネクドキズムII＜コンティニュイティー＞」,1,2016-09-25,シネクドキズム実行委員会 音楽と写真と映像の作品「シネクドキズムII＜コンティニュイティー＞」,●シネクドキズム実行委員会 音楽と写真と映像の作品「シネクドキズムII＜コンティニュイティー＞」2016年9月25日(日)愛知県芸術劇場　小ホール今井智景： 音楽と写真と映像の作品「シネクドキズムII＜コンティニュイティー＞」 （世界初演）  他,http://i-amabile.com/concert/synecdochism160925
1,オーケストラ《エクセルシス》 ,7,2016-09-10,オーケストラ《エクセルシス》 第7回演奏会,●オーケストラ《エクセルシス》 第7回演奏会2016年9月10日(土)杉並公会堂大ホール　大浦智宏指揮ラングストレム： 交響曲第2番 ニ短調 「わが祖国」 （日本初演）  他,http://i-amabile.com/concert/orchestra_excelsis7
10,Musitravel 三原有利加　Yurika Mihara　ピアノ デビューCDリリース記念コンサート,4,2016-09-04,Musitravel 三原有利加　Yurika Mihara　ピアノ デビューCDリリース記念コンサート,●Musitravel 三原有利加　Yurika Mihara　ピアノ デビューCDリリース記念コンサート2016年9月4日(日)カーサクラシカ北村ゆい　： スノードロップ （日本初演）  他,http://i-amabile.com/concert/musitravelconcerts160904_2
10,Musitravel 三原有利加　Yurika Mihara　ピアノ デビューCDリリース記念コンサート,4,2016-09-04,Musitravel 三原有利加　Yurika Mihara　ピアノ デビューCDリリース記念コンサート,●Musitravel 三原有利加　Yurika Mihara　ピアノ デビューCDリリース記念コンサート2016年9月4日(日)カーサクラシカ北村ゆい： スノードロップ （日本初演）  他,http://i-amabile.com/concert/musitravelconcerts160904_1
66,Musitravel 三原有利加 Yurika Mihara ピアノ  デビューCDリリース記念コンサート,1,2016-09-02,Musitravel 三原有利加 Yurika Mihara ピアノ  デビューCDリリース記念コンサート,●Musitravel 三原有利加 Yurika Mihara ピアノ  デビューCDリリース記念コンサート2016年9月2日(金)アクロス福岡 円形ホール　北村ゆい　： スノードロップ （日本初演）  他,http://i-amabile.com/concert/musitravelconcerts160902_2
10,Musitravel 三原有利加　Yurika Mihara　ピアノ デビューCDリリース記念コンサート,4,2016-09-02,Musitravel 三原有利加　Yurika Mihara　ピアノ デビューCDリリース記念コンサート,●Musitravel 三原有利加　Yurika Mihara　ピアノ デビューCDリリース記念コンサート2016年9月2日(金)アクロス福岡 円形ホール　北村ゆい　： スノードロップ （日本初演）  北村ゆい： 懐かしき香り （日本初演）  他,http://i-amabile.com/concert/musitravelconcerts160902_1
10,Musitravel 三原有利加　Yurika Mihara　ピアノ デビューCDリリース記念コンサート,4,2016-08-30,Musitravel 三原有利加　Yurika Mihara　ピアノ デビューCDリリース記念コンサート,●Musitravel 三原有利加　Yurika Mihara　ピアノ デビューCDリリース記念コンサート2016年8月30日(火)谷山サザンホール　北村ゆい　： スノードロップ （日本初演）  北村ゆい： 懐かしき香り （日本初演）  他,http://i-amabile.com/concert/musitravelconcerts160830
